"FIPS","F_VALUE","STATE","EP_POV150","EP_MINRTY","E_UNEMP"
39085,0.354420255472113,"Ohio",14.4,12.4,5882
39093,0.453484589773391,"Ohio",19.9,22.2,7337
39095,0.604670588352337,"Ohio",27.4,32.1,15436
39097,-0.0115002215643538,"Ohio",15.5,12,781
39099,0.157590718016952,"Ohio",26.6,24.8,8976
39101,-0.0284682004939571,"Ohio",25,12.1,1712
39103,0.0512997090165736,"Ohio",10.5,6.9,2778
39117,-0.0156999177288488,"Ohio",16.8,4.2,484
39123,0.0264850857216098,"Ohio",16.1,8.1,721
39133,0.13239841459274,"Ohio",19.1,11.3,5157
39137,-0.020149932152925,"Ohio",12.5,7.9,561
39139,0.00560871207728217,"Ohio",24.5,15,3118
39143,0.0281474136159082,"Ohio",21.1,16.2,1322
39147,-0.0191150785432979,"Ohio",22.1,10.7,1155
39151,0.135949191859767,"Ohio",21.7,14,9618
39153,0.909838061265173,"Ohio",21,23.7,16590
39155,0.108901831282408,"Ohio",26.7,13.4,4322
39157,-0.0774246874897893,"Ohio",22.6,5.9,2516
39159,-0.0272581777442196,"Ohio",10,11.1,846
39169,-0.0328413875219793,"Ohio",18.8,6.4,1905
39171,-0.0198368415331325,"Ohio",18.3,7.6,701
39173,0.011425636257529,"Ohio",20.1,12.2,3578
39175,-0.0141328416316059,"Ohio",17.3,5.2,378
40019,0.443857995166923,"Oklahoma",26.6,30.9,1034
40031,0.231095434458587,"Oklahoma",27.3,44.6,3480
40049,0.33103225851197,"Oklahoma",29.2,25.6,371
40051,0.586224464462143,"Oklahoma",18.3,19,1137
40087,0.350292800016236,"Oklahoma",15.8,21.2,665
40137,0.30665584820457,"Oklahoma",26.2,20.4,1224
41003,-0.0595708798893459,"Oregon",25.4,20.4,2927
41011,0.339995511481588,"Oregon",27.4,15.3,1948
41019,0.445288912594898,"Oregon",24.3,12.7,2767
41039,2.49916286491842,"Oregon",26.5,18.6,13540
41041,0.340372104160761,"Oregon",25.3,18.6,1488
41043,-0.0909426216183517,"Oregon",22.6,15.7,4116
41047,-0.251629609391132,"Oregon",24.8,35.6,8890
41053,-0.0437299611268898,"Oregon",19.2,22.5,2290
41059,-0.0437903994949359,"Oregon",25.5,35,2405
42001,-0.0118310932018986,"Pennsylvania",13.8,11.3,2049
42003,0.61380560394921,"Pennsylvania",17.9,22.1,32041
42005,0.00889498167372701,"Pennsylvania",21,3.2,1735
42007,-0.0198469668498117,"Pennsylvania",17.7,11,4249
42009,-0.000719275970610864,"Pennsylvania",21.4,3.5,1033
42011,0.321870467083079,"Pennsylvania",19,29.5,12196
42013,0.0206533460845573,"Pennsylvania",22.9,5.8,2765
42015,0.00652202828505235,"Pennsylvania",22.9,4.5,1331
42017,0.0667319261893867,"Pennsylvania",9.7,17.4,14477
42019,0.0914043844298626,"Pennsylvania",13.2,5.6,4498
42021,0.0133309991179722,"Pennsylvania",22.4,7.6,3111
42023,-0.000774839048273357,"Pennsylvania",31.3,5.5,216
42027,0.0496172368521189,"Pennsylvania",24.2,14.7,3274
42029,-0.0546742498031848,"Pennsylvania",10.4,21.2,11699
42031,0.00325609759399992,"Pennsylvania",26.2,4.5,1112
42033,0.0104321019208311,"Pennsylvania",24.9,7.3,2704
42035,-0.00578537008427697,"Pennsylvania",24.5,5,1085
42039,0.0207495971057579,"Pennsylvania",23.9,5.6,2320
42041,-0.0172720045298246,"Pennsylvania",12.7,15.2,4545
42043,-0.0171450099517345,"Pennsylvania",19.1,35.5,6352
42047,-0.00259444496589016,"Pennsylvania",18.4,3,977
42049,0.0980626341027864,"Pennsylvania",25,16.4,7187
42051,0.0386080562715778,"Pennsylvania",26.8,8.6,4334
42053,-0.000280679513490283,"Pennsylvania",26.4,28.7,80
42055,-0.000266063345750769,"Pennsylvania",17.4,12.6,3031
42057,-0.00234123633450808,"Pennsylvania",19.5,4.4,379
42059,0.0061730266530962,"Pennsylvania",21.6,7.4,724
42061,0.000302159232648534,"Pennsylvania",20,9.7,1066
42063,0.00434241946501344,"Pennsylvania",25.8,6.7,2843
42065,-0.00441593019331445,"Pennsylvania",24,3,930
42067,-0.0062517436131961,"Pennsylvania",19.5,6.4,335
42071,-0.139162381390721,"Pennsylvania",15.8,18.7,10273
42073,0.00426292225335224,"Pennsylvania",22.9,8.6,2687
42075,0.0104243414108633,"Pennsylvania",18.3,18.7,3465
42077,-0.0164227639741163,"Pennsylvania",20.7,36.8,11834
42081,-0.0108611708280523,"Pennsylvania",21.2,10.1,2818
42083,0.0046016546269265,"Pennsylvania",27.1,7,1224
42085,0.0276323699980974,"Pennsylvania",23,10.1,2952
42087,-0.00287752740065044,"Pennsylvania",23.8,4.4,793
42089,0.0330017406570554,"Pennsylvania",18.4,35.2,5327
42091,-0.00844852499751139,"Pennsylvania",9.8,25.1,20402
42095,0.0815446055701037,"Pennsylvania",15,24.2,7246
42099,-0.0122629042667599,"Pennsylvania",16.1,4.9,802
42103,0.000234450418821905,"Pennsylvania",16.1,20.4,2122
42105,-0.00302772391169395,"Pennsylvania",23.9,3.7,502
42111,0.00217252689262626,"Pennsylvania",20,6.1,1668
42113,-0.00100599597703383,"Pennsylvania",19.5,6.9,147
42115,0.00249572540289975,"Pennsylvania",20.9,3.8,1162
42117,-0.00244976630380804,"Pennsylvania",23.3,3.9,990
42121,0.00216730727368507,"Pennsylvania",23.6,4.6,1570
42123,0.0033865174820823,"Pennsylvania",22.1,4.3,825
42125,0.115561880768385,"Pennsylvania",15.4,8.2,5712
42127,0.00154240207905296,"Pennsylvania",19.4,9.8,1136
42129,0.242295399327394,"Pennsylvania",16,6.5,8377
42131,0.000147649656284891,"Pennsylvania",17.4,8.3,650
42133,0.0164155617979018,"Pennsylvania",15.4,17.4,10972
45015,1.01037801391203,"South Carolina",21.5,37.3,4655
45019,1.20092136234706,"South Carolina",20.2,35.3,7883
45021,0.0990128193330737,"South Carolina",30.4,27.5,1637
45035,0.099758187071958,"South Carolina",19.1,36.4,4526
46011,0.163329016969917,"South Dakota",21.3,10.4,782
46039,-0.00777843744370812,"South Dakota",15.6,4,30
46057,-0.0107599579306223,"South Dakota",15.7,7,70
46077,-0.00334875280558287,"South Dakota",12.9,2.9,26
46079,0.035865593994785,"South Dakota",16.9,7,230
46083,-0.108387125945096,"South Dakota",8.8,7.8,869
46087,-0.00928364508851007,"South Dakota",15.2,6.7,72
46091,0.0106902608942984,"South Dakota",13,16.8,71
46099,0.980059573603986,"South Dakota",17,18.4,2858
46101,-0.000674974845804662,"South Dakota",16.9,23.9,86
46109,0.0253200456102344,"South Dakota",34,43.8,289
46125,0.0161864466040769,"South Dakota",18,5.1,104
48015,0.0474706421395077,"Texas",22.2,38.4,841
48039,0.684013679572876,"Texas",14.6,53.9,8558
48071,0.0588021690310421,"Texas",19.7,33.9,1504
48085,-0.0945990696530593,"Texas",11,44.5,21883
48089,0.0217243571863911,"Texas",24.8,44.4,367
48097,-0.0169727477659181,"Texas",19.9,24.9,823
48121,-0.335513283009011,"Texas",12.4,41.8,18844
48147,-0.0151153885998549,"Texas",23.3,21.6,707
48157,1.482541625014,"Texas",13,67.8,22490
48167,0.560112088397978,"Texas",19.2,43.3,9989
48181,-0.00639669507491536,"Texas",20.4,25.4,2858
48191,-0.00172668413888645,"Texas",38,44.4,143
48201,8.89300066989122,"Texas",25.8,71,148311
48269,-0.000160593270993344,"Texas",47.3,21.5,10
48291,0.0748508159516221,"Texas",28.1,38.5,2561
48321,0.0192094592456559,"Texas",30.8,56.9,1063
48339,0.891605850968134,"Texas",16.1,35.1,13655
48473,0.0917314026674155,"Texas",21.4,57.2,1344
48481,0.0705913120536096,"Texas",28.3,55.9,1012
49037,0.603687684496135,"Utah",32.7,55.7,774
50001,-0.00319843077899079,"Vermont",13.4,7.7,809
50005,0.0508229299403872,"Vermont",21.1,5.9,480
50007,0.467852982965906,"Vermont",17.3,12,3435
50009,0.0130534801943895,"Vermont",24.8,5,153
50011,0.114031795269983,"Vermont",16.3,6.3,1163
50013,0.0107789491363493,"Vermont",11.8,7.9,171
50015,0.0543977372654922,"Vermont",19,5.8,530
50019,0.0838641653837329,"Vermont",22.2,5.2,572
51099,0.207290712102179,"Virginia",11.8,27.4,531
51103,0.0747876608340648,"Virginia",21.9,32.7,433
51133,0.0850131402047486,"Virginia",19.6,30.7,294
51159,0.0637754366612807,"Virginia",29.6,39.4,80
51179,1.01653612917498,"Virginia",8.7,40.2,2904
51193,0.128594959477325,"Virginia",22.4,36.2,1040
53013,-0.000352655322639841,"Washington",16.1,15.2,34
53015,0.00486632081933567,"Washington",20.8,17.7,3119
53027,-0.00175733699699021,"Washington",24.1,20.8,1944
53031,0.0105282801666948,"Washington",19.4,12.8,861
53033,0.35284120155027,"Washington",13,41.8,54603
53035,-0.0288570042812865,"Washington",14.3,24,5341
53045,0.00554437412022545,"Washington",21.5,20.7,1737
53051,0.00301865822430064,"Washington",19.3,13.1,344
